customerID,tenure_band,spend_tier,is_at_risk,revenue_at_risk
6180-YBIQI,0-10,10-30,0,0.0
6728-DKUCO,50+,90+,0,0.0
9750-BOOHV,30-40,30-50,0,0.0
8597-CWYHH,40-50,90+,0,0.0
2848-YXSMW,50+,10-30,0,0.0
0486-HECZI,50+,90+,0,0.0
4549-ZDQYY,50+,50-70,0,0.0
5712-AHQNN,40-50,90+,0,0.0
4846-WHAFZ,30-40,70-90,0,0.0
5256-SKJGO,50+,50-70,0,0.0
3071-VBYPO,0-10,70-90,1,89.85
9560-BBZXK,30-40,30-50,0,0.0
5299-RULOA,10-20,90+,0,0.0
8402-OOOHJ,40-50,10-30,0,0.0
9445-ZUEQE,20-30,70-90,0,0.0
1091-SOZGA,50+,90+,0,0.0
2928-HLDBA,0-10,10-30,0,0.0
0404-SWRVG,0-10,70-90,0,0.0
6497-TILVL,0-10,50-70,0,0.0
7219-TLZHO,0-10,10-30,0,0.0
4622-YNKIJ,30-40,70-90,0,0.0
4412-YLTKF,20-30,70-90,0,0.0
6734-PSBAW,50+,10-30,0,0.0
3930-ZGWVE,0-10,10-30,0,0.0
2639-UGMAZ,50+,50-70,0,0.0
2876-GZYZC,10-20,70-90,0,0.0
6207-WIOLX,20-30,50-70,0,0.0
8587-XYZSF,50+,50-70,0,0.0
3091-FYHKI,0-10,30-50,0,0.0
2372-HWUHI,0-10,30-50,0,0.0
7799-LGRDP,40-50,10-30,0,0.0
7850-VWJUU,20-30,70-90,0,0.0
3774-VBNXY,50+,10-30,0,0.0
6217-KDYWC,50+,10-30,0,0.0
0390-DCFDQ,0-10,70-90,0,0.0
3146-MSEGF,50+,70-90,0,0.0
4080-OGPJL,0-10,70-90,0,0.0
1095-WGNGG,50+,90+,0,0.0
2636-SJDOU,50+,70-90,0,0.0
1131-QQZEB,50+,10-30,0,0.0
5716-EZXZN,50+,90+,0,0.0
6837-BJYDQ,0-10,10-30,0,0.0
2135-RXIHG,0-10,30-50,0,0.0
6440-DKQGE,30-40,50-70,0,0.0
3466-BYAVD,10-20,50-70,0,0.0
3780-YVMFA,0-10,50-70,0,0.0
3874-EQOEP,0-10,90+,0,0.0
1679-JRFBR,50+,90+,0,0.0
9073-ZZIAY,50+,70-90,0,0.0
3077-RSNTJ,0-10,10-30,0,0.0
6551-GNYDG,10-20,70-90,0,0.0
9167-APMXZ,20-30,70-90,0,0.0
2749-CTKAJ,20-30,10-30,0,0.0
6371-NZYEG,10-20,50-70,0,0.0
7554-NEWDD,10-20,10-30,0,0.0
8992-VONJD,10-20,50-70,0,0.0
0867-MKZVY,20-30,70-90,0,0.0
4482-EWFMI,0-10,50-70,1,69.7
4648-YPBTM,50+,70-90,0,0.0
2907-ILJBN,10-20,10-30,0,0.0
6345-FZOQH,50+,10-30,0,0.0
3376-BMGFE,0-10,70-90,0,0.0
5997-OPVFA,50+,70-90,0,0.0
3445-HXXGF,50+,30-50,0,0.0
1159-WFSGR,10-20,10-30,0,0.0
7654-YWJUF,40-50,70-90,0,0.0
1875-QIVME,0-10,90+,0,0.0
6727-IOTLZ,10-20,70-90,0,0.0
0691-JVSYA,50+,90+,0,0.0
5918-VUKWP,30-40,10-30,0,0.0
1744-JHKYS,30-40,10-30,0,0.0
2656-FMOKZ,10-20,70-90,0,0.0
2070-FNEXE,0-10,70-90,0,0.0
5947-SGKCL,10-20,90+,0,0.0
3712-PKXZA,50+,10-30,0,0.0
6317-YPKDH,0-10,10-30,0,0.0
6582-OIVSP,0-10,30-50,0,0.0
9367-WXLCH,0-10,70-90,0,0.0
5524-KHNJP,30-40,70-90,0,0.0
1918-ZBFQJ,10-20,70-90,0,0.0
1024-GUALD,0-10,10-30,0,0.0
4827-USJHP,20-30,50-70,0,0.0
8167-GJLRN,0-10,30-50,0,0.0
0956-SYCWG,10-20,10-30,0,0.0
8017-UVSZU,40-50,50-70,0,0.0
7100-FQPRV,40-50,70-90,0,0.0
2472-OVKUP,0-10,90+,0,0.0
2984-RGEYA,50+,10-30,0,0.0
9680-NIAUV,50+,90+,0,0.0
2146-EGVDT,50+,10-30,0,0.0
2604-IJPDU,20-30,90+,0,0.0
9178-JHUVJ,20-30,10-30,0,0.0
6168-YBYNP,50+,90+,0,0.0
7255-SSFBC,50+,90+,0,0.0
3645-DEYGF,0-10,10-30,0,0.0
9323-HGFWY,20-30,90+,0,0.0
8544-GOQSH,10-20,70-90,0,0.0
3363-DTIVD,50+,90+,0,0.0
7018-WBJNK,10-20,70-90,0,0.0
9142-KZXOP,40-50,50-70,0,0.0
7674-YTAFD,30-40,70-90,0,0.0
6348-SNFUS,50+,50-70,0,0.0
1285-OKIPP,0-10,70-90,0,0.0
7825-ECJRF,10-20,90+,0,0.0
1347-KTTTA,50+,90+,0,0.0
7841-TZDMQ,0-10,30-50,0,0.0
4195-NZGTA,0-10,10-30,0,0.0
7157-SMCFK,50+,10-30,0,0.0
4709-LKHYG,20-30,10-30,0,0.0
2504-DSHIH,20-30,70-90,0,0.0
0699-NDKJM,50+,50-70,0,0.0
9286-BHDQG,50+,30-50,0,0.0
0230-WEQUW,50+,50-70,0,0.0
2040-LDIWQ,50+,70-90,0,0.0
6496-JDSSB,0-10,70-90,0,0.0
9408-SSNVZ,0-10,70-90,0,0.0
4443-EMBNA,50+,10-30,0,0.0
6469-MRVET,0-10,10-30,0,0.0
0742-MOABM,0-10,50-70,0,0.0
5961-VUSRV,10-20,10-30,0,0.0
6778-JFCMK,20-30,50-70,0,0.0
6341-JVQGF,30-40,70-90,0,0.0
2232-DMLXU,0-10,50-70,0,0.0
4811-JBUVU,30-40,70-90,0,0.0
0945-TSONX,40-50,70-90,0,0.0
2651-ZCBXV,50+,90+,0,0.0
3316-UWXUY,50+,90+,0,0.0
8937-RDTHP,0-10,70-90,0,0.0
7083-MIOPC,50+,10-30,0,0.0
1984-GPTEH,20-30,10-30,0,0.0
1251-KRREG,0-10,50-70,0,0.0
0621-JFHOL,10-20,10-30,0,0.0
9903-LYSAB,10-20,70-90,0,0.0
0094-OIFMO,10-20,90+,0,0.0
9227-UAQFT,10-20,10-30,0,0.0
7301-ABVAD,50+,70-90,0,0.0
6614-FHDBO,50+,90+,0,0.0
7576-ASEJU,40-50,70-90,0,0.0
9058-HRZSV,50+,90+,0,0.0
4522-AKYLR,10-20,50-70,0,0.0
0221-WMXNQ,0-10,70-90,1,75.35
0303-UNCIP,40-50,50-70,0,0.0
9947-OTFQU,10-20,70-90,0,0.0
0322-YINQP,0-10,30-50,0,0.0
0959-WHOKV,40-50,90+,0,0.0
4075-JFPGR,50+,90+,0,0.0
4629-NRXKX,0-10,70-90,0,0.0
9514-JDSKI,0-10,30-50,0,0.0
3282-ZISZV,30-40,70-90,0,0.0
3675-YDUPJ,10-20,10-30,0,0.0
4111-BNXIF,50+,50-70,0,0.0
7017-VFHAY,50+,90+,0,0.0
6655-LHBYW,50+,90+,0,0.0
4959-JOSRX,0-10,30-50,0,0.0
5046-NUHWD,20-30,30-50,0,0.0
7273-TEFQD,0-10,30-50,0,0.0
3606-TWKGI,10-20,90+,0,0.0
7529-ZDFXI,50+,70-90,0,0.0
7605-BDWDC,30-40,30-50,0,0.0
1950-KSVVJ,40-50,90+,0,0.0
0123-CRBRT,50+,70-90,0,0.0
6292-TOSSS,50+,10-30,0,0.0
3197-ARFOY,10-20,90+,0,0.0
6323-AYBRX,50+,10-30,0,0.0
7014-ZZXAW,50+,10-30,0,0.0
4385-GZQXV,10-20,90+,0,0.0
7633-MVPUY,50+,50-70,0,0.0
6366-ZGQGL,0-10,10-30,0,0.0
4716-HHKQH,20-30,90+,0,0.0
5940-AHUHD,0-10,70-90,0,0.0
6432-TWQLB,0-10,70-90,0,0.0
4484-GLZOU,50+,90+,0,0.0
3179-GBRWV,20-30,50-70,0,0.0
8645-KWHJO,10-20,50-70,0,0.0
4130-MZLCC,0-10,50-70,0,0.0
0314-TKOSI,0-10,50-70,0,0.0
8229-MYEJZ,10-20,50-70,0,0.0
2080-SRCDE,0-10,10-30,0,0.0
9577-WJVCQ,50+,50-70,0,0.0
9512-UIBFX,10-20,90+,0,0.0
6202-DYYFX,20-30,70-90,0,0.0
3808-HFKDE,20-30,30-50,0,0.0
5583-SXDAG,0-10,70-90,0,0.0
3488-PGMQJ,0-10,70-90,0,0.0
3580-REOAC,10-20,30-50,0,0.0
7534-BFESC,20-30,70-90,0,0.0
3727-OWVYD,30-40,50-70,0,0.0
2294-SALNE,20-30,70-90,0,0.0
4847-TAJYI,0-10,70-90,1,89.35
1563-IWQEX,10-20,10-30,0,0.0
8203-XJZRC,0-10,10-30,0,0.0
6556-DBKZF,50+,70-90,0,0.0
6851-WEFYX,30-40,90+,0,0.0
2985-JUUBZ,40-50,70-90,0,0.0
6390-DSAZX,0-10,70-90,0,0.0
0895-LMRSF,20-30,50-70,0,0.0
8098-LLAZX,0-10,90+,0,0.0
8266-VBFQL,0-10,90+,1,90.4
8181-YHCMF,50+,50-70,0,0.0
2240-HSJQD,30-40,70-90,0,0.0
1248-DYXUB,50+,10-30,0,0.0
0265-EDXBD,30-40,70-90,0,0.0
4115-BNPJY,20-30,70-90,0,0.0
3167-SNQPL,30-40,90+,0,0.0
4091-TVOCN,40-50,70-90,0,0.0
1098-TDVUQ,0-10,10-30,0,0.0
7277-OZCGZ,20-30,70-90,0,0.0
1557-EMYVT,40-50,90+,0,0.0
2799-ARNLO,0-10,50-70,1,69.35
7563-BIUPC,0-10,70-90,0,0.0
5027-YOCXN,50+,90+,0,0.0
3973-SKMLN,50+,10-30,0,0.0
2321-OMBXY,30-40,70-90,0,0.0
2840-XANRC,20-30,90+,0,0.0
6745-JEFZB,30-40,90+,0,0.0
5020-ZSTTY,50+,70-90,0,0.0
9880-TDQAC,50+,50-70,0,0.0
8705-WZCYL,0-10,30-50,0,0.0
7102-JJVTX,0-10,30-50,0,0.0
8626-PTQGE,50+,50-70,0,0.0
4983-CLMLV,50+,90+,0,0.0
5701-YVSVF,10-20,70-90,1,82.9
5804-LEPIM,0-10,70-90,0,0.0
5697-GOMBF,20-30,30-50,0,0.0
2739-CACDQ,10-20,70-90,0,0.0
9385-EHGDO,30-40,10-30,0,0.0
9498-FIMXL,0-10,10-30,0,0.0
2379-GYFLQ,40-50,90+,0,0.0
0122-OAHPZ,0-10,70-90,0,0.0
2868-SNELZ,0-10,70-90,0,0.0
4322-RCYMT,50+,70-90,0,0.0
6680-NENYN,40-50,90+,0,0.0
2088-IEBAU,50+,70-90,0,0.0
7982-VCELR,30-40,90+,0,0.0
1343-EHPYB,50+,90+,0,0.0
6035-BXTTY,30-40,50-70,0,0.0
6885-PKOAM,50+,70-90,0,0.0
7520-HQWJU,50+,50-70,0,0.0
9639-BUJXT,50+,10-30,0,0.0
5924-SNGKP,40-50,10-30,0,0.0
0021-IKXGC,0-10,70-90,1,72.1
2034-GDRCN,0-10,90+,0,0.0
8966-SNIZF,50+,10-30,0,0.0
6243-OZGFH,20-30,30-50,0,0.0
4654-DLAMQ,50+,90+,0,0.0
0513-RBGPE,30-40,50-70,0,0.0
5160-UXJED,10-20,30-50,0,0.0
4115-NZRKS,0-10,70-90,1,89.15
0219-YTZUE,0-10,70-90,0,0.0
0623-IIHUG,20-30,30-50,0,0.0
4572-DVCGN,10-20,70-90,0,0.0
3351-NGXYI,10-20,50-70,0,0.0
8984-EYLLL,50+,90+,0,0.0
9057-MSWCO,20-30,30-50,0,0.0
9833-TGFHX,40-50,90+,0,0.0
9294-TDIPC,0-10,10-30,0,0.0
5229-DTFYB,40-50,90+,0,0.0
0104-PPXDV,50+,50-70,0,0.0
5176-LMJXE,40-50,10-30,0,0.0
3583-KRKMD,10-20,70-90,0,0.0
1010-DIAUQ,0-10,90+,0,0.0
9069-LGEUL,20-30,50-70,0,0.0
7302-ZHMHP,0-10,10-30,0,0.0
9571-EDEBV,50+,90+,0,0.0
3520-FJGCV,50+,90+,0,0.0
6563-VRERX,30-40,10-30,0,0.0
0259-GBZSH,0-10,70-90,0,0.0
6122-EFVKN,20-30,30-50,0,0.0
2805-EDJPQ,50+,90+,0,0.0
6862-CQUMB,30-40,90+,0,0.0
7156-MXBJE,40-50,70-90,0,0.0
6158-HDPXZ,0-10,10-30,0,0.0
9601-BRXPO,20-30,90+,0,0.0
2863-IMQDR,50+,70-90,0,0.0
5686-CMAWK,10-20,70-90,0,0.0
5651-CRHKQ,40-50,70-90,0,0.0
6905-NIQIN,0-10,50-70,0,0.0
8204-YJCLA,50+,50-70,0,0.0
5167-ZFFMM,0-10,90+,0,0.0
6583-SZVGP,40-50,90+,0,0.0
4895-TMWIR,10-20,10-30,0,0.0
0533-BNWKF,50+,70-90,0,0.0
1708-PBBOA,40-50,50-70,0,0.0
8782-LKFPK,40-50,90+,0,0.0
5522-JBWMO,0-10,30-50,0,0.0
3597-MVHJT,20-30,90+,0,0.0
9774-NRNAU,20-30,70-90,0,0.0
0224-RLWWD,0-10,30-50,0,0.0
9967-ATRFS,10-20,10-30,0,0.0
3951-NJCVI,40-50,90+,0,0.0
2977-CEBSX,50+,90+,0,0.0
0177-PXBAT,30-40,90+,0,0.0
6599-CEBNN,30-40,70-90,0,0.0
2519-ERQOJ,30-40,50-70,0,0.0
5876-QMYLD,20-30,10-30,0,0.0
2277-AXSDC,30-40,10-30,0,0.0
9442-JTWDL,10-20,10-30,0,0.0
0979-PHULV,50+,90+,0,0.0
3067-SVMTC,50+,50-70,0,0.0
5495-GPSRW,20-30,10-30,0,0.0
7606-BPHHN,50+,10-30,0,0.0
4742-DRORA,50+,90+,0,0.0
0111-KLBQG,30-40,90+,0,0.0
4800-VHZKI,0-10,10-30,0,0.0
7989-CHGTL,0-10,10-30,0,0.0
0334-GDDSO,0-10,70-90,0,0.0
4163-NCJAK,40-50,10-30,0,0.0
5233-AOZUF,20-30,70-90,0,0.0
5973-EJGDP,50+,70-90,0,0.0
1996-DBMUS,40-50,70-90,0,0.0
7916-VCCPB,10-20,70-90,0,0.0
4686-GEFRM,50+,90+,0,0.0
5249-QYHEX,40-50,10-30,0,0.0
0578-SKVMF,20-30,70-90,0,0.0
5564-NEMQO,0-10,70-90,0,0.0
2233-FAGXV,0-10,10-30,0,0.0
5605-IYGFG,0-10,50-70,0,0.0
7663-ZTEGJ,20-30,90+,0,0.0
3935-TBRZZ,40-50,10-30,0,0.0
8111-BKVDS,10-20,30-50,0,0.0
2055-SIFSS,50+,50-70,0,0.0
2806-MLNTI,50+,90+,0,0.0
8734-DKSTZ,10-20,70-90,1,85.95
4360-PNRQB,10-20,70-90,0,0.0
6152-ONASV,50+,50-70,0,0.0
9063-ZGTUY,50+,10-30,0,0.0
7781-HVGMK,50+,50-70,0,0.0
2181-UAESM,0-10,50-70,0,0.0
2957-LOLHO,10-20,30-50,0,0.0
6048-NJXHX,40-50,10-30,0,0.0
2320-SLKMB,20-30,30-50,0,0.0
4980-URKXC,30-40,10-30,0,0.0
4376-KFVRS,50+,90+,0,0.0
5886-VLQVU,30-40,70-90,0,0.0
3577-AMVUX,0-10,50-70,0,0.0
0771-WLCLA,10-20,90+,0,0.0
5628-RKIFK,40-50,90+,0,0.0
0206-TBWLC,50+,90+,0,0.0
2937-FTHUR,10-20,50-70,0,0.0
1910-FMXJM,30-40,70-90,0,0.0
7752-XUSCI,50+,90+,0,0.0
4110-PFEUZ,0-10,50-70,0,0.0
0732-OCQOC,50+,10-30,0,0.0
5168-MSWXT,0-10,90+,1,94.75
1090-ESELR,50+,90+,0,0.0
8592-PLTMQ,50+,10-30,0,0.0
5760-WRAHC,20-30,50-70,0,0.0
8847-GEOOQ,50+,50-70,0,0.0
0256-LTHVJ,20-30,70-90,0,0.0
4785-FCIFB,50+,10-30,0,0.0
8313-NDOIA,20-30,90+,0,0.0
5149-CUZUJ,20-30,90+,0,0.0
0942-KOWSM,30-40,70-90,0,0.0
4237-CLSMM,0-10,10-30,0,0.0
1452-VOQCH,0-10,70-90,1,75.1
4719-UMSIY,0-10,10-30,0,0.0
6614-VBEGU,20-30,50-70,0,0.0
0880-TKATG,0-10,90+,0,0.0
3811-VBYBZ,0-10,90+,0,0.0
1480-BKXGA,50+,90+,0,0.0
2996-XAUVF,50+,30-50,0,0.0
9076-AXYIK,50+,90+,0,0.0
5968-XQIVE,50+,70-90,0,0.0
8896-RAZCR,40-50,10-30,0,0.0
4640-UHDOS,10-20,50-70,0,0.0
4933-IKULF,10-20,10-30,0,0.0
3583-EKAPL,0-10,50-70,0,0.0
1304-BCCFO,0-10,70-90,0,0.0
4104-PVRPS,20-30,50-70,0,0.0
9399-APLBT,0-10,70-90,0,0.0
2359-KMGLI,20-30,70-90,0,0.0
3780-DDGSE,30-40,70-90,0,0.0
4431-EDMIQ,0-10,70-90,0,0.0
0306-JAELE,0-10,90+,0,0.0
6227-HWPWX,10-20,50-70,0,0.0
0486-LGCCH,10-20,10-30,0,0.0
0447-BEMNG,40-50,30-50,0,0.0
4612-SSVHJ,20-30,70-90,0,0.0
5168-MQQCA,50+,90+,0,0.0
5949-XIKAE,0-10,70-90,0,0.0
7971-HLVXI,50+,70-90,0,0.0
9094-AZPHK,10-20,90+,0,0.0
3649-JPUGY,50+,70-90,0,0.0
4472-LVYGI,0-10,50-70,0,0.0
8372-JUXUI,0-10,70-90,0,0.0
3552-CTCYF,50+,90+,0,0.0
6778-YSNIH,0-10,50-70,0,0.0
0388-EOPEX,0-10,70-90,0,0.0
5756-OZRIO,50+,50-70,0,0.0
6579-JPICP,0-10,10-30,0,0.0
8205-OTCHB,20-30,30-50,0,0.0
4134-BSXLX,20-30,50-70,0,0.0
0505-SPOOW,50+,10-30,0,0.0
6235-VDHOM,0-10,10-30,0,0.0
7783-YKGDV,10-20,90+,0,0.0
4374-YMUSQ,30-40,90+,0,0.0
4513-CXYIX,50+,70-90,0,0.0
3957-HHLMR,50+,50-70,0,0.0
7803-XOCCZ,50+,70-90,0,0.0
5736-YEJAX,50+,70-90,0,0.0
5609-CEBID,20-30,90+,0,0.0
8981-FJGLA,10-20,70-90,0,0.0
7218-HKQFK,0-10,90+,0,0.0
4636-QRJKY,0-10,70-90,0,0.0
1135-LMECX,0-10,10-30,0,0.0
4332-MUOEZ,20-30,90+,0,0.0
8535-SFUTN,50+,90+,0,0.0
5956-VKDTT,0-10,70-90,0,0.0
8677-HDZEE,50+,90+,0,0.0
2475-MROZF,30-40,90+,0,0.0
9412-GHEEC,40-50,90+,0,0.0
3482-ABPKK,20-30,50-70,0,0.0
6705-LXORM,0-10,70-90,1,70.05
0257-ZESQC,20-30,70-90,0,0.0
7531-GQHME,10-20,10-30,0,0.0
5174-ITUMV,50+,90+,0,0.0
4109-CYRBD,20-30,50-70,0,0.0
0913-XWSCN,50+,70-90,0,0.0
6825-UYPFK,20-30,70-90,0,0.0
8397-MVTAZ,30-40,90+,0,0.0
0750-EBAIU,50+,90+,0,0.0
8606-CIQUL,50+,90+,0,0.0
3571-DPYUH,50+,90+,0,0.0
7601-GNDYK,30-40,10-30,0,0.0
0356-OBMAC,50+,90+,0,0.0
8067-NIOYM,20-30,10-30,0,0.0
1403-GYAFU,50+,10-30,0,0.0
4234-XTNEA,0-10,70-90,1,79.95
1297-VQDRP,50+,90+,0,0.0
9282-IZGQK,0-10,70-90,0,0.0
5348-CAGXB,10-20,70-90,1,89.55
0621-HJWXJ,50+,70-90,0,0.0
5844-QVTAT,30-40,50-70,0,0.0
8905-IAZPF,50+,90+,0,0.0
5394-MEITZ,50+,70-90,0,0.0
6859-QNXIQ,50+,90+,0,0.0
2782-LFZVW,10-20,50-70,0,0.0
2866-IKBTM,0-10,10-30,0,0.0
1342-JPNKI,10-20,70-90,0,0.0
2817-NTQDO,10-20,30-50,0,0.0
7129-AZJDE,30-40,70-90,0,0.0
6986-IJDHX,30-40,70-90,0,0.0
2560-PPCHE,50+,90+,0,0.0
4676-MQUEA,50+,90+,0,0.0
8138-EALND,10-20,10-30,0,0.0
3580-HYCSP,50+,90+,0,0.0
1352-HNSAW,50+,90+,0,0.0
2075-PUEPR,50+,10-30,0,0.0
1982-FEBTD,20-30,10-30,0,0.0
5301-GAUUY,30-40,70-90,0,0.0
5791-KAJFD,50+,50-70,0,0.0
2654-VBVPB,0-10,10-30,0,0.0
1154-HYWWO,30-40,70-90,0,0.0
2501-XWWTZ,10-20,70-90,1,70.2
3716-UVSPD,0-10,30-50,0,0.0
6815-ABQFQ,50+,90+,0,0.0
7343-EOBEU,0-10,10-30,0,0.0
3701-SFMUH,0-10,50-70,0,0.0
6103-LIANB,50+,90+,0,0.0
7319-VENRZ,0-10,50-70,0,0.0
5846-NEQVZ,50+,70-90,0,0.0
6967-QIQRV,10-20,90+,0,0.0
5781-RFZRP,50+,70-90,0,0.0
0939-YAPAF,30-40,90+,0,0.0
0308-IVGOK,10-20,30-50,0,0.0
7293-LSCDV,50+,10-30,0,0.0
7025-WCBNE,40-50,50-70,0,0.0
5756-JYOJT,10-20,50-70,0,0.0
4710-FDUIZ,50+,90+,0,0.0
6030-REHUX,20-30,90+,0,0.0
9548-LIGTA,50+,70-90,0,0.0
5150-LJNSR,30-40,90+,0,0.0
8270-RKSAP,0-10,70-90,1,70.5
6522-YRBXD,30-40,90+,0,0.0
2640-LYMOV,0-10,10-30,0,0.0
1218-VKFPE,10-20,10-30,0,0.0
3627-FHKBK,0-10,70-90,0,0.0
2865-TCHJW,0-10,70-90,0,0.0
1423-BMPBQ,0-10,10-30,0,0.0
2393-DIVAI,0-10,10-30,0,0.0
5192-EBGOV,0-10,70-90,0,0.0
4568-KNYWR,50+,50-70,0,0.0
8752-IMQOS,0-10,10-30,0,0.0
0742-LAFQK,50+,90+,0,0.0
0795-LAFGP,50+,90+,0,0.0
0619-OLYUR,50+,90+,0,0.0
5512-IDZEI,40-50,10-30,0,0.0
0459-SPZHJ,50+,70-90,0,0.0
0215-BQKGS,30-40,70-90,0,0.0
9244-ZVAPM,0-10,30-50,0,0.0
0719-SYFRB,10-20,50-70,0,0.0
8208-EUMTE,10-20,50-70,0,0.0
5172-MIGPM,0-10,50-70,0,0.0
1710-RCXUS,50+,90+,0,0.0
0374-FIUCA,50+,10-30,0,0.0
5839-SUYVZ,10-20,70-90,0,0.0
5173-ZXXXL,0-10,10-30,0,0.0
1096-ADRUX,50+,70-90,0,0.0
2001-MCUUW,40-50,90+,0,0.0
2731-GJRDG,30-40,90+,0,0.0
4723-BEGSG,50+,70-90,0,0.0
6516-NKQBO,30-40,70-90,0,0.0
8672-OAUPW,50+,30-50,0,0.0
8207-DMRVL,50+,90+,0,0.0
3419-SNJJD,50+,90+,0,0.0
6543-CPZMK,0-10,10-30,0,0.0
4765-OXPPD,0-10,50-70,0,0.0
2804-ETQDK,50+,10-30,0,0.0
6689-VRRTK,40-50,90+,0,0.0
7138-GIRSH,50+,50-70,0,0.0
9396-ZSFLL,10-20,30-50,0,0.0
6464-KEXXH,0-10,10-30,0,0.0
7134-MJPDY,50+,90+,0,0.0
5240-CAOYT,50+,70-90,0,0.0
