customerID,Contract,tenure,tenure_band,InternetService,PaymentMethod,MonthlyCharges,is_at_risk,revenue_at_risk
0581-BXBUB,Month-to-month,4,0-10,Fiber optic,Electronic check,72.75,1,72.75
5150-ITWWB,Month-to-month,3,0-10,Fiber optic,Electronic check,94.85,1,94.85
0570-BFQHT,Month-to-month,9,0-10,Fiber optic,Electronic check,80.55,1,80.55
6818-DJXAA,Month-to-month,10,10-20,Fiber optic,Electronic check,91.1,1,91.1
9643-AVVWI,Month-to-month,3,0-10,Fiber optic,Electronic check,80.0,1,80.0
5043-TRZWM,Month-to-month,1,0-10,Fiber optic,Electronic check,75.55,1,75.55
1640-PLFMP,Month-to-month,1,0-10,Fiber optic,Electronic check,70.25,1,70.25
0840-DFEZH,Month-to-month,7,0-10,Fiber optic,Electronic check,75.35,1,75.35
2545-EBUPK,Month-to-month,2,0-10,Fiber optic,Electronic check,84.05,1,84.05
9799-CAYJJ,Month-to-month,2,0-10,Fiber optic,Electronic check,69.3,1,69.3
3199-XGZCY,Month-to-month,8,0-10,Fiber optic,Electronic check,75.25,1,75.25
2880-FPNAE,Month-to-month,2,0-10,Fiber optic,Electronic check,74.2,1,74.2
1077-HUUJM,Month-to-month,7,0-10,Fiber optic,Electronic check,71.05,1,71.05
6357-JJPQT,Month-to-month,3,0-10,Fiber optic,Electronic check,80.5,1,80.5
3878-AVSOQ,Month-to-month,1,0-10,Fiber optic,Electronic check,71.25,1,71.25
1016-DJTSV,Month-to-month,8,0-10,Fiber optic,Electronic check,69.7,1,69.7
5288-AHOUP,Month-to-month,11,10-20,Fiber optic,Electronic check,78.5,1,78.5
2897-DOVND,Month-to-month,2,0-10,Fiber optic,Electronic check,69.8,1,69.8
3489-HHPFY,Month-to-month,2,0-10,Fiber optic,Electronic check,84.05,1,84.05
0508-OOLTO,Month-to-month,2,0-10,Fiber optic,Electronic check,71.65,1,71.65
8800-JOOCF,Month-to-month,12,10-20,Fiber optic,Electronic check,84.05,1,84.05
3453-RTHJQ,Month-to-month,6,0-10,Fiber optic,Electronic check,69.1,1,69.1
1508-DFXCU,Month-to-month,12,10-20,Fiber optic,Electronic check,81.45,1,81.45
9773-PEQBZ,Month-to-month,10,10-20,Fiber optic,Electronic check,79.85,1,79.85
8104-OSKWT,Month-to-month,12,10-20,Fiber optic,Electronic check,79.8,1,79.8
4090-KPJIP,Month-to-month,3,0-10,Fiber optic,Electronic check,74.95,1,74.95
1200-TUZHR,Month-to-month,8,0-10,Fiber optic,Electronic check,85.2,1,85.2
8161-QYMTT,Month-to-month,7,0-10,Fiber optic,Electronic check,94.1,1,94.1
2688-BHGOG,Month-to-month,9,0-10,Fiber optic,Electronic check,79.55,1,79.55
8687-BAFGU,Month-to-month,1,0-10,Fiber optic,Electronic check,74.0,1,74.0
0187-QSXOE,Month-to-month,7,0-10,Fiber optic,Electronic check,89.0,1,89.0
7858-GTZSP,Month-to-month,12,10-20,Fiber optic,Electronic check,86.55,1,86.55
4395-PZMSN,Month-to-month,5,0-10,Fiber optic,Electronic check,85.55,1,85.55
7044-YAACC,Month-to-month,4,0-10,Fiber optic,Electronic check,70.2,1,70.2
4123-DVHPH,Month-to-month,9,0-10,Fiber optic,Electronic check,88.05,1,88.05
7394-LWLYN,Month-to-month,2,0-10,Fiber optic,Electronic check,70.15,1,70.15
3969-GYXEL,Month-to-month,11,10-20,Fiber optic,Electronic check,76.4,1,76.4
4749-OJKQU,Month-to-month,4,0-10,Fiber optic,Electronic check,75.65,1,75.65
7465-ZZRVX,Month-to-month,1,0-10,Fiber optic,Electronic check,70.35,1,70.35
0225-ZORZP,Month-to-month,3,0-10,Fiber optic,Electronic check,84.3,1,84.3
9518-XXBXE,Month-to-month,10,10-20,Fiber optic,Electronic check,75.3,1,75.3
6350-XFYGW,Month-to-month,4,0-10,Fiber optic,Electronic check,94.75,1,94.75
9717-QEBGU,Month-to-month,2,0-10,Fiber optic,Electronic check,70.3,1,70.3
5760-FXFVO,Month-to-month,6,0-10,Fiber optic,Electronic check,78.95,1,78.95
1319-YLZJG,Month-to-month,12,10-20,Fiber optic,Electronic check,84.6,1,84.6
0018-NYROU,Month-to-month,5,0-10,Fiber optic,Electronic check,68.95,1,68.95
3420-YJLQT,Month-to-month,2,0-10,Fiber optic,Electronic check,79.55,1,79.55
7326-RIGQZ,Month-to-month,6,0-10,Fiber optic,Electronic check,69.8,1,69.8
5429-LWCMV,Month-to-month,12,10-20,Fiber optic,Electronic check,89.15,1,89.15
7354-OIJLX,Month-to-month,9,0-10,Fiber optic,Electronic check,75.85,1,75.85
8541-QVFKM,Month-to-month,8,0-10,Fiber optic,Electronic check,73.5,1,73.5
7577-SWIFR,Month-to-month,1,0-10,Fiber optic,Electronic check,89.25,1,89.25
3797-FKOGQ,Month-to-month,11,10-20,Fiber optic,Electronic check,86.2,1,86.2
5928-QLDHB,Month-to-month,9,0-10,Fiber optic,Electronic check,76.25,1,76.25
9840-EFJQB,Month-to-month,1,0-10,Fiber optic,Electronic check,74.35,1,74.35
4060-LDNLU,Month-to-month,7,0-10,Fiber optic,Electronic check,96.2,1,96.2
4299-SIMNS,Month-to-month,9,0-10,Fiber optic,Electronic check,81.15,1,81.15
3338-CVVEH,Month-to-month,12,10-20,Fiber optic,Electronic check,94.55,1,94.55
1941-HOSAM,Month-to-month,1,0-10,Fiber optic,Electronic check,90.1,1,90.1
4273-MBHYA,Month-to-month,1,0-10,Fiber optic,Electronic check,89.35,1,89.35
2657-VPXTA,Month-to-month,10,10-20,Fiber optic,Electronic check,88.85,1,88.85
4912-PIGUY,Month-to-month,1,0-10,Fiber optic,Electronic check,84.6,1,84.6
8990-ZXLSU,Month-to-month,9,0-10,Fiber optic,Electronic check,69.05,1,69.05
6918-UMQCG,Month-to-month,5,0-10,Fiber optic,Electronic check,80.2,1,80.2
9334-GWGOW,Month-to-month,7,0-10,Fiber optic,Electronic check,74.85,1,74.85
5399-ZIMKF,Month-to-month,5,0-10,Fiber optic,Electronic check,74.65,1,74.65
9633-XQABV,Month-to-month,3,0-10,Fiber optic,Electronic check,70.25,1,70.25
2077-MPJQO,Month-to-month,7,0-10,Fiber optic,Electronic check,75.4,1,75.4
3370-HXOPH,Month-to-month,3,0-10,Fiber optic,Electronic check,76.1,1,76.1
1628-BIZYP,Month-to-month,1,0-10,Fiber optic,Electronic check,85.0,1,85.0
8035-PWSEV,Month-to-month,6,0-10,Fiber optic,Electronic check,89.25,1,89.25
4853-OITSN,Month-to-month,5,0-10,Fiber optic,Electronic check,89.15,1,89.15
2080-GKCWQ,Month-to-month,2,0-10,Fiber optic,Electronic check,74.95,1,74.95
3462-BJQQA,Month-to-month,6,0-10,Fiber optic,Electronic check,89.75,1,89.75
2325-NBPZG,Month-to-month,3,0-10,Fiber optic,Electronic check,74.55,1,74.55
1689-YQBYY,Month-to-month,12,10-20,Fiber optic,Electronic check,76.6,1,76.6
4884-ZTHVF,Month-to-month,8,0-10,Fiber optic,Electronic check,87.1,1,87.1
9605-WGJVW,Month-to-month,1,0-10,Fiber optic,Electronic check,70.2,1,70.2
0644-OQMDK,Month-to-month,4,0-10,Fiber optic,Electronic check,70.65,1,70.65
6458-CYIDZ,Month-to-month,5,0-10,Fiber optic,Electronic check,80.7,1,80.7
7823-JSOAG,Month-to-month,3,0-10,Fiber optic,Electronic check,74.5,1,74.5
3422-GALYP,Month-to-month,2,0-10,Fiber optic,Electronic check,79.45,1,79.45
5442-BHQNG,Month-to-month,2,0-10,Fiber optic,Electronic check,70.35,1,70.35
5022-JNQEQ,Month-to-month,9,0-10,Fiber optic,Electronic check,75.85,1,75.85
8778-LMWTJ,Month-to-month,9,0-10,Fiber optic,Electronic check,74.85,1,74.85
5119-NZPTV,Month-to-month,2,0-10,Fiber optic,Electronic check,70.1,1,70.1
5339-PXDVH,Month-to-month,4,0-10,Fiber optic,Electronic check,90.65,1,90.65
9494-MRNYX,Month-to-month,10,10-20,Fiber optic,Electronic check,75.05,1,75.05
6339-YPSAH,Month-to-month,9,0-10,Fiber optic,Electronic check,73.8,1,73.8
6969-MVBAI,Month-to-month,9,0-10,Fiber optic,Electronic check,90.1,1,90.1
4566-NECEV,Month-to-month,5,0-10,Fiber optic,Electronic check,96.55,1,96.55
1173-XZPYF,Month-to-month,11,10-20,Fiber optic,Electronic check,89.2,1,89.2
6229-LSCKB,Month-to-month,6,0-10,Fiber optic,Electronic check,79.7,1,79.7
3191-CSNMG,Month-to-month,3,0-10,Fiber optic,Electronic check,80.7,1,80.7
2215-ZAFGX,Month-to-month,9,0-10,Fiber optic,Electronic check,85.5,1,85.5
3914-FDRHP,Month-to-month,9,0-10,Fiber optic,Electronic check,86.25,1,86.25
